,AXP,AMGN,AAPL,BA,CAT,CSCO,CVX,GS,HD,HON,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,CRM,VZ,V,WBA,WMT,DIS,DOW
413,160.45,225.64,149.71,219.4,209.14,58.54,96.73,401.45,327.74,229.11,133.47992351816444,53.23,177.61,56.44,156.7,239.66,194.68,78.38,304.65,169.72,144.35,159.9,425.36,260.52,55.42,234.14,48.51,150.45,177.66,62.06
414,161.2,224.38,149.62,221.43,212.59,59.32,97.84,408.56,324.9,230.44,133.6902485659656,53.81,175.39,56.01,157.67,238.43,194.75,77.72,302.62,169.98,143.18,160.64,423.41,259.66,55.01,234.24,48.34,148.9,178.47,63.26
415,166.18,221.59,148.36,221.03,214.76,59.35,98.51,413.12,323.88,230.66,133.7093690248566,53.81,174.23,56.07,160.92,238.83,194.34,77.07,302.01,169.84,142.67,162.58,419.74,260.85,54.93,232.59,48.65,148.96,178.31,63.87
416,165.51,221.47,147.54,216.5,211.24,59.2,97.22,412.41,321.48,230.88,132.67686424474186,53.13,173.3,55.54,161.75,236.95,195.32,76.57,299.09,166.92,142.42,159.97,416.85,267.79,54.6,230.52,47.84,147.35,176.56,63.65
417,168.65,222.78,148.6,221.75,212.83,59.02,98.64,419.69,323.38,231.14,133.2791586998088,53.89,172.93,55.65,163.05,237.48,195.05,76.3,299.72,167.58,142.31,162.09,418.76,266.53,54.77,232.69,48.48,146.52,180.14,65.38
418,164.26,224.13,153.12,217.66,211.45,59.13,98.39,413.6,327.1,231.87,132.8585086042065,53.94,173.66,56.18,160.44,236.59,196.17,76.5,303.59,168.03,142.93,159.44,418.3,264.97,54.77,231.23,48.63,147.7,179.98,63.98
419,165.96,225.53,151.83,219.5,210.87,59.02,96.77,413.51,326.18,231.91,134.1682600382409,54.06,173.13,56.31,159.95,237.46,194.74,76.29,301.88,164.74,142.39,159.71,416.27,265.27,55.0,229.1,50.75,148.1,181.3,62.9
420,164.44,223.35,152.51,218.12,207.96,59.04,95.71,413.66,323.64,229.8,133.17399617590823,53.67,173.74,56.69,159.72,238.15,193.44,76.18,301.83,164.56,143.84,159.28,417.35,268.32,54.94,230.12,50.29,147.78,183.48,62.54
421,162.05,225.96,153.65,220.83,211.78,59.53,97.71,414.5,327.74,230.97,133.8527724665392,53.73,174.93,56.77,160.46,239.87,194.89,77.12,301.15,163.67,143.95,159.97,423.71,264.15,55.29,224.18,51.78,148.56,181.86,62.62
422,159.3,226.37,154.3,218.17,210.37,59.42,97.49,411.31,330.34,228.36,133.44168260038242,53.51,175.04,56.73,159.49,238.82,194.39,77.26,301.14,163.29,144.05,159.17,422.86,267.08,55.43,225.11,51.29,149.25,181.0,62.12
423,159.72,221.34,156.69,214.24,208.23,58.88,97.06,410.32,328.95,222.93,131.9885277246654,53.65,172.32,55.67,159.21,236.19,185.58,75.98,300.18,162.64,143.51,157.8,421.24,265.21,54.82,226.27,51.0,147.27,184.34,61.87
424,158.93,220.87,155.11,211.38,206.77,58.68,96.39,405.0,331.58,224.4,132.57170172084128,53.57,171.9,56.42,158.5,238.62,187.89,75.36,300.21,160.71,144.6,158.74,415.39,262.62,54.91,229.09,51.09,147.46,185.15,60.69
425,159.39,215.58,154.07,213.94,205.42,58.6,96.0,404.58,331.77,222.93,131.6826003824092,53.4,168.07,55.86,159.19,238.61,185.75,73.82,297.25,163.34,143.99,157.96,414.55,260.74,54.44,227.49,50.57,146.42,185.91,60.28
426,158.72,213.75,148.97,210.3,205.01,57.89,96.07,403.48,331.95,222.37,130.9942638623327,53.84,166.97,55.61,157.36,239.18,184.55,73.45,295.71,163.59,144.13,156.36,403.91,257.2,54.23,224.91,49.45,145.89,184.12,60.41
427,161.45,216.72,149.55,214.48,206.2,58.1,97.97,409.26,335.45,223.6,132.07456978967494,54.99,165.8,56.07,159.86,241.21,185.23,73.18,296.99,159.52,145.68,158.9,414.52,254.11,54.62,224.63,49.18,145.06,184.98,60.72
428,159.48,216.04,148.12,211.57,202.33,57.87,96.2,403.69,333.12,220.19,130.22944550669214,54.52,164.8,55.69,157.07,241.13,182.42,72.11,299.79,158.76,145.43,156.35,412.54,254.37,54.41,223.03,48.22,144.3,182.4,59.65
429,161.34,218.13,149.03,214.22,205.73,57.56,98.24,401.95,333.37,221.69,131.1663479923518,55.12,165.42,55.88,158.16,240.98,184.19,72.81,304.82,157.91,145.12,157.58,417.52,256.16,54.57,223.81,50.12,144.55,184.41,60.2
430,162.63,217.36,148.79,213.36,203.6,57.33,97.32,396.68,336.39,219.65,130.4302103250478,54.83,165.22,55.35,158.09,243.21,182.66,71.97,305.22,157.6,144.11,156.67,416.84,260.36,54.43,224.33,49.94,145.03,183.34,59.47
431,163.92,219.38,146.06,213.36,199.75,56.85,96.76,391.46,335.67,218.49,129.282982791587,54.26,164.75,54.44,157.68,242.49,181.49,71.68,299.87,156.42,144.34,156.29,420.16,260.53,54.28,221.75,49.62,144.73,183.47,57.75
432,160.57,215.11,142.94,209.5,190.82,55.89,94.78,378.13,331.21,215.73,128.40344168260037,52.98,163.81,54.06,152.96,239.09,180.53,71.93,294.3,154.25,142.89,152.66,412.7,258.22,54.26,220.05,48.4,142.74,178.61,56.18
433,163.27,215.36,143.43,208.51,189.84,55.26,94.85,375.84,334.22,214.9,127.12237093690248,52.87,164.53,54.05,152.98,240.5,178.42,71.97,294.8,155.02,143.11,152.97,412.34,257.97,54.03,220.17,48.02,143.02,171.17,55.53
434,167.49,213.64,145.85,216.98,191.35,55.52,97.64,385.47,335.93,217.02,128.70936902485658,53.5,163.93,54.13,155.91,243.13,179.84,72.04,298.58,157.44,143.6,154.38,408.7,259.17,54.06,222.75,48.01,142.69,173.65,56.3
435,173.36,215.05,146.83,221.1,196.62,56.69,100.06,391.86,335.91,219.7,130.71701720841298,54.03,164.86,54.04,161.18,244.78,181.53,73.05,299.56,159.58,144.19,156.02,408.03,277.86,54.42,228.31,48.46,142.77,176.25,57.43
436,175.72,213.61,146.92,221.39,196.82,56.73,100.6,390.85,337.49,219.19,131.44359464627152,54.22,164.36,53.89,163.04,246.42,181.04,73.61,299.35,149.59,143.55,156.46,407.08,285.63,54.37,231.59,48.31,143.17,176.0,56.81
